Country Name,Country Code,GDP_avg,log(GDP_avg),Globalization index (0-100),Economic globalization index (0-100),Political globalization index (0-100),Social globalization index (0-100)
Mauritius,MUS,10401.88,9.249741838023445,72.1,82.098,55.948,78.654
Malawi,MWI,577.199,6.358187094396483,48.536,41.446000000000005,60.477999999999994,43.482
Malaysia,MYS,10691.187,9.27717503620839,81.232,75.792,84.962,82.74600000000001
North America,NAC,62523.801,11.043302579232483,,,,
Namibia,NAM,5076.775,8.532431496455004,58.284000000000006,52.876,62.45,59.73
New Caledonia,NCL,35389.095,10.474159000817,,,,
Niger,NER,557.658,6.323745871253541,46.334,38.638,63.556000000000004,35.896
Nigeria,NGA,2082.452,7.6413013245556725,55.50599999999999,42.164,85.166,39.184
Nicaragua,NIC,1981.611,7.591665429229585,60.470000000000006,63.218,58.916,59.260000000000005
Netherlands,NLD,52825.295,10.874745426945712,90.74600000000001,89.602,96.556,86.474
Norway,NOR,77993.654,11.264382743387548,85.748,77.436,89.65,90.162
Nepal,NPL,1144.518,7.042738866660821,47.760000000000005,30.318,65.42999999999999,47.106
Nauru,NRU,9900.885,9.200379426066675,,,,
New Zealand,NZL,43883.64,10.689296864458287,77.16,67.828,77.486,86.16
OECD members,OED,39411.416,10.581810799510597,,,,
Oman,OMN,18607.878,9.83134031841709,62.73,67.588,50.648,71.138
Other small states,OSS,13211.796,9.488865345882846,,,,
Pakistan,PAK,1490.575,7.306917230537189,53.660000000000004,34.472,84.668,42.044
Panama,PAN,14757.434,9.599502234802625,71.61,73.30199999999999,66.136,75.19
Peru,PER,6644.425,8.801533436176816,69.202,60.386,84.716,62.496
Philippines,PHL,3274.182,8.093823345879017,66.298,56.028,82.184,61.008
Palau,PLW,14725.433,9.597331413859942,45.468,57.128,11.77,78.272
Papua New Guinea,PNG,2558.449,7.847156494491653,50.7,55.194,54.98,41.04600000000001
Poland,POL,15767.403,9.665699986624164,80.718,73.072,91.578,77.508
Pre-demographic dividend,PRE,1422.329,7.260050947878268,,,,
Puerto Rico,PRI,31935.062,10.371459807437363,,,,
Portugal,PRT,23038.743,10.044932556029858,84.768,79.65599999999999,93.0,81.442
Paraguay,PRY,5886.341,8.680389861196174,62.198,49.036,73.47200000000001,63.686
West Bank and Gaza,PSE,3547.417,8.17397501200221,,,,
Pacific island small states,PSS,3999.357,8.293888877180361,,,,
Post-demographic dividend,PST,45549.968,10.72656520016316,,,,
French Polynesia,PYF,19841.468,9.89552937003708,,,,
Qatar,QAT,61492.614,11.026672349021345,74.538,76.61600000000001,68.11800000000001,79.084
Romania,ROU,12817.233,9.45854587254563,79.424,71.148,90.88,76.402
Russian Federation,RUS,11181.562,9.322021450724627,,,,
Rwanda,RWA,785.98,6.666931346812849,51.536,49.6,64.80199999999999,40.006
South Asia,SAS,1954.611,7.577946475638823,,,,
Saudi Arabia,SAU,21722.512,9.986104421135812,66.814,61.715999999999994,66.768,72.124
Sudan,SDN,1213.357,7.101146177266952,44.75,40.78,59.065999999999995,33.694
Senegal,SEN,1491.778,7.3077239761271615,61.298,47.336,82.796,53.174
Singapore,SGP,65472.942,11.089392237037707,83.40599999999999,93.986,67.978,88.252
Solomon Islands,SLB,2332.029,7.75449398307059,42.85,47.39,29.826,53.522000000000006
Sierra Leone,SLE,496.844,6.208276093525156,45.402,39.358,57.438,39.366
El Salvador,SLV,4173.356,8.336475787281135,65.84200000000001,59.46,74.396,63.674
Somalia,SOM,405.264,6.004538706595254,30.915999999999997,32.292500000000004,32.518,27.327999999999996
Serbia,SRB,7585.226,8.933957686988059,78.146,72.8,86.01599999999999,75.226
Sub-Saharan Africa (excluding high income),SSA,1593.917,7.373949787730969,,,,
Sub-Saharan Africa,SSF,1595.139,7.37471615875726,,,,
Small states,SST,12076.335,9.399003031415788,,,,
Sao Tome and Principe,STP,2053.949,7.627519560579465,42.994,47.408,27.974,55.242000000000004
Suriname,SUR,5839.882,8.672465870138687,53.80799999999999,57.010000000000005,36.79,69.502
Slovak Republic,SVK,19478.548,9.877069036430752,,,,
Slovenia,SVN,26098.099,10.169617755409128,80.752,77.636,82.482,81.936
Sweden,SWE,54837.328,10.912126408929774,89.584,83.596,96.65,88.702
Eswatini,SWZ,3807.799,8.244806610904707,,,,
Seychelles,SYC,15608.653,9.655580718947004,62.664,76.506,39.234,73.838
Turks and Caicos Islands,TCA,24415.432,10.102970670379772,,,,
Chad,TCD,682.849,6.526273751672896,40.95399999999999,30.362000000000002,59.02,30.698
East Asia & Pacific (IDA & IBRD countries),TEA,8351.104,9.030149024674055,,,,
Europe & Central Asia (IDA & IBRD countries),TEC,8937.56,9.098017900266443,,,,
Togo,TGO,888.924,6.790011742545649,52.23,48.242000000000004,64.328,43.668
Thailand,THA,7049.704,8.860740909109282,72.672,66.86,81.644,69.318
Tajikistan,TJK,866.688,6.764679050423125,48.698,46.312,53.470000000000006,46.254000000000005
Latin America & the Caribbean (IDA & IBRD countries),TLA,8304.373,9.024537522508634,,,,
Timor-Leste,TLS,1701.772,7.439425340112868,,,,
Middle East & North Africa (IDA & IBRD countries),TMN,3466.258,8.150830904897033,,,,
Tonga,TON,4585.593,8.430674711114893,47.878,54.053999999999995,24.381999999999998,70.19
South Asia (IDA & IBRD),TSA,1954.611,7.577946475638823,,,,
Sub-Saharan Africa (IDA & IBRD countries),TSS,1595.139,7.37471615875726,,,,
Trinidad and Tobago,TTO,15570.818,9.653153800378021,63.946000000000005,61.982000000000006,56.298,73.35600000000001
Tunisia,TUN,3585.917,8.184769508331126,67.41,55.931999999999995,83.352,63.148
Turkiye,TUR,9438.046,9.15250424618842,,,,
Tuvalu,TUV,4826.415,8.481859235028237,,,,
Tanzania,TZA,1036.111,6.943229559937185,50.291999999999994,37.73,76.616,36.528
Uganda,UGA,822.621,6.712495584281556,53.336,47.21,71.17,41.822
Ukraine,UKR,3596.731,8.187780656356447,74.266,64.282,88.65599999999999,69.83
Upper middle income,UMC,9555.321,9.164853451086527,,,,
Uruguay,URY,17677.547,9.780050582221856,73.14399999999999,61.11,81.91,76.21
United States,USA,64326.144,11.071721421678935,,,,
Uzbekistan,UZB,1806.113,7.498932301233292,49.61,47.518,50.582,50.446000000000005
St. Vincent and the Grenadines,VCT,8421.259,9.03851462099925,,,,
Vietnam,VNM,3418.645,8.136999552718748,64.53,59.70399999999999,73.968,59.92999999999999
Vanuatu,VUT,3011.953,8.010343984548369,49.918,63.574,29.242,61.648
World,WLD,11293.751,9.332004842885084,,,,
Samoa,WSM,4131.797,8.326467700281462,51.714,52.504,33.954,71.22999999999999
Kosovo,XKX,4478.027,8.406937826617968,,,,
South Africa,ZAF,6653.695,8.802927618437398,70.014,54.83,88.50800000000001,66.902
Zambia,ZMB,1266.651,7.144131688548826,57.58,54.824,70.598,46.914
Zimbabwe,ZWE,1605.954,7.381473251506214,52.016,37.956,69.006,49.086
